year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-15,Westbound,Light Vehicles,4,12,7,6,34,101,188,281,391,428,488,434,453,435,426,460,548,490,274,212,162,101,41,18,0,0
2024,2024-01-15,Westbound,All Vehicles,4,12,7,9,40,119,214,317,434,469,517,489,485,470,470,498,585,525,293,235,176,109,45,19,0,0
2024,2024-01-16,Westbound,Light Vehicles,8,5,10,6,33,91,227,285,380,424,448,450,441,423,476,485,590,555,326,220,186,126,46,24,0,0
2024,2024-01-16,Westbound,Heavy Vehicles,,,3,1,7,13,34,36,53,41,33,47,38,40,41,46,41,40,22,19,12,11,2,2,0,0
2024,2024-01-16,Westbound,All Vehicles,8,5,13,7,40,104,261,321,433,465,481,497,479,463,517,531,631,595,348,239,198,137,48,26,0,0
2024,2024-01-17,Westbound,Heavy Vehicles,,,1,1,4,12,35,35,45,49,40,50,36,39,43,41,48,37,26,13,12,10,2,1,0,0
2024,2024-01-17,Westbound,Light Vehicles,13,5,9,8,35,100,225,329,349,423,431,437,450,463,444,458,537,582,312,235,180,118,74,22,0,0
2024,2024-01-17,Westbound,All Vehicles,13,5,10,9,39,112,260,364,394,472,471,487,486,502,487,499,585,619,338,248,192,128,76,23,0,0
2024,2024-01-18,Westbound,Light Vehicles,9,6,6,11,37,80,238,286,373,441,394,474,470,394,421,499,637,588,413,271,230,151,65,33,0,0
2024,2024-01-18,Westbound,Heavy Vehicles,,2,,,6,15,23,40,46,35,51,30,36,28,34,43,41,29,30,29,16,6,1,2,0,0
2024,2024-01-18,Westbound,All Vehicles,9,8,6,11,43,95,261,326,419,476,445,504,506,422,455,542,678,617,443,300,246,157,66,35,0,0
2024,2024-01-19,Westbound,Heavy Vehicles,2,,1,2,1,5,21,28,23,27,29,28,20,17,28,20,18,14,21,14,11,2,3,1,0,0
