year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-15,Northbound,Light Vehicles,31,12,11,14,34,82,166,239,440,378,361,307,331,322,326,431,482,469,308,212,164,113,67,38,0,0
2024,2024-01-15,Northbound,All Vehicles,32,15,12,18,37,88,179,257,470,398,389,332,362,345,343,456,509,477,320,215,166,117,68,38,0,0
2024,2024-01-16,Northbound,Heavy Vehicles,,,4,,1,5,11,16,30,24,26,28,27,30,16,32,24,25,13,1,10,2,,1,0,0
2024,2024-01-16,Northbound,Light Vehicles,24,14,15,15,27,87,158,283,453,416,374,364,357,341,335,424,487,460,320,213,152,125,79,62,0,0
2024,2024-01-16,Northbound,All Vehicles,24,14,19,15,28,92,169,299,483,440,400,392,384,371,351,456,511,485,333,214,162,127,79,63,0,0
2024,2024-01-17,Northbound,Heavy Vehicles,4,1,3,2,3,7,21,17,31,23,28,24,28,27,24,26,25,16,6,11,2,2,3,1,0,0
2024,2024-01-17,Northbound,Light Vehicles,32,18,11,15,23,82,181,288,439,358,394,361,371,339,379,399,441,511,335,233,163,146,78,49,0,0
2024,2024-01-17,Northbound,All Vehicles,36,19,14,17,26,89,202,305,470,381,422,385,399,366,403,425,466,527,341,244,165,148,81,50,0,0
2024,2024-01-18,Northbound,Light Vehicles,21,17,18,22,22,98,175,305,435,409,348,346,370,342,326,413,486,520,366,274,202,168,104,54,0,0
2024,2024-01-18,Northbound,Heavy Vehicles,1,1,2,1,4,2,13,17,37,28,28,25,26,32,28,26,31,17,15,11,4,5,,1,0,0
2024,2024-01-18,Northbound,All Vehicles,22,18,20,23,26,100,188,322,472,437,376,371,396,374,354,439,517,537,381,285,206,173,104,55,0,0
2024,2024-01-19,Northbound,Light Vehicles,39,24,13,12,36,90,159,257,397,407,403,354,376,367,389,408,503,456,357,251,204,158,99,91,0,0
2024,2024-01-19,Northbound,Heavy Vehicles,1,2,2,2,6,9,13,20,24,24,26,35,23,18,36,23,26,13,19,5,8,6,,3,0,0
2024,2024-01-19,Northbound,All Vehicles,40,26,15,14,42,99,172,277,421,431,429,389,399,385,425,431,529,469,376,256,212,164,99,94,0,0
2024,2024-01-20,Northbound,Heavy Vehicles,1,3,,1,1,5,9,12,15,13,10,16,13,18,15,11,11,13,16,4,8,5,6,2,0,0
2024,2024-01-20,Northbound,Light Vehicles,53,48,28,21,20,57,98,181,262,346,348,361,328,312,299,282,283,295,259,199,179,145,147,87,0,0
2024,2024-01-20,Northbound,All Vehicles,54,51,28,22,21,62,107,193,277,359,358,377,341,330,314,293,294,308,275,203,187,150,153,89,0,0
2024,2024-01-21,Northbound,Light Vehicles,78,47,38,31,19,39,81,156,195,271,295,354,294,300,240,252,273,263,263,186,168,121,86,48,0,0
2024,2024-01-21,Northbound,Heavy Vehicles,1,2,,1,,4,1,12,12,10,9,13,13,14,6,8,13,17,4,8,6,8,3,2,0,0
2024,2024-01-21,Northbound,All Vehicles,79,49,38,32,19,43,82,168,207,281,304,367,307,314,246,260,286,280,267,194,174,129,89,50,0,0
2024,2024-01-22,Northbound,Light Vehicles,34,15,4,15,43,97,167,288,434,352,345,372,343,354,359,401,465,492,307,203,129,130,80,47,0,0
2024,2024-01-22,Northbound,Heavy Vehicles,1,2,3,1,4,6,13,19,20,29,26,40,30,22,19,25,15,26,14,6,6,3,2,,0,0
2024,2024-01-22,Northbound,All Vehicles,35,17,7,16,47,103,180,307,454,381,371,412,373,376,378,426,480,518,321,209,135,133,82,47,0,0
2024,2024-01-23,Northbound,Light Vehicles,30,12,10,18,33,93,163,281,493,413,394,345,350,347,372,380,481,496,380,222,209,126,85,36,0,0
2024,2024-01-23,Northbound,Heavy Vehicles,2,1,1,1,3,5,16,32,37,32,32,33,37,38,37,28,18,15,20,9,7,1,1,5,0,0
2024,2024-01-23,Northbound,All Vehicles,32,13,11,19,36,98,179,313,530,445,426,378,387,385,409,408,499,511,400,231,216,127,86,41,0,0
