year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-13,Northbound,Heavy Vehicles,25,20,21,27,36,81,194,154,136,118,122,107,104,73,80,86,89,72,59,60,42,41,36,31,0,0
2024,2024-01-13,Northbound,Light Vehicles,298,163,113,119,184,524,1233,1178,1263,1416,1798,1821,1913,1710,1737,1595,1595,1511,1251,996,912,941,808,512,0,0
2024,2024-01-13,Northbound,All Vehicles,323,183,134,146,220,605,1427,1332,1399,1534,1920,1928,2017,1783,1817,1681,1684,1583,1310,1056,954,982,844,543,0,0
2024,2024-01-14,Northbound,Heavy Vehicles,29,17,19,16,20,23,40,58,71,61,58,66,59,58,52,51,55,75,56,52,50,37,27,27,0,0
2024,2024-01-14,Northbound,Light Vehicles,350,197,122,93,130,301,503,540,779,1094,1385,1540,1435,1323,1282,1476,1511,1386,1379,916,808,675,492,275,0,0
2024,2024-01-14,Northbound,All Vehicles,379,214,141,109,150,324,543,598,850,1155,1443,1606,1494,1381,1334,1527,1566,1461,1435,968,858,712,519,302,0,0
2024,2024-01-15,Northbound,Light Vehicles,132,84,72,120,273,960,1581,1444,1395,1483,1077,962,1100,1314,1095,1399,1324,,1103,853,655,618,459,226,0,0
2024,2024-01-15,Northbound,Heavy Vehicles,33,14,19,36,72,155,255,174,146,213,143,152,190,167,149,130,117,,88,72,67,58,48,34,0,0
2024,2024-01-15,Northbound,All Vehicles,165,98,91,156,345,1115,1836,1618,1541,1696,1220,1114,1290,1481,1244,1529,1441,,1191,925,722,676,507,260,0,0
2024,2024-01-16,Northbound,Heavy Vehicles,35,31,45,52,81,181,370,280,195,190,204,172,179,167,143,131,157,83,97,61,66,48,51,44,0,0
2024,2024-01-16,Northbound,Light Vehicles,137,67,67,88,260,938,1846,1678,1740,1276,1157,1090,1184,1142,1167,1400,1598,1175,1238,885,708,729,496,242,0,0
2024,2024-01-16,Northbound,All Vehicles,172,98,112,140,341,1119,2216,1958,1935,1466,1361,1262,1363,1309,1310,1531,1755,1258,1335,946,774,777,547,286,0,0
2024,2024-01-17,Northbound,Heavy Vehicles,34,33,46,48,105,207,320,276,214,230,214,228,215,209,140,158,110,119,75,68,55,44,41,,0,0
2024,2024-01-17,Northbound,Light Vehicles,157,77,61,107,272,1050,1605,1469,1726,1415,1226,1236,1235,1331,1318,1547,1436,959,995,913,732,734,456,,0,0
2024,2024-01-17,Northbound,All Vehicles,191,110,107,155,377,1257,1925,1745,1940,1645,1440,1464,1450,1540,1458,1705,1546,1078,1070,981,787,778,497,,0,0
2024,2024-01-18,Northbound,Light Vehicles,150,77,67,128,261,1049,2068,1628,1741,1369,1408,1265,950,1275,1382,1629,1590,1467,1480,1039,899,878,596,364,0,0
2024,2024-01-18,Northbound,Heavy Vehicles,32,25,41,39,84,204,386,292,256,178,268,199,157,204,170,172,118,91,106,78,77,74,68,53,0,0
2024,2024-01-18,Northbound,All Vehicles,182,102,108,167,345,1253,2454,1920,1997,1547,1676,1464,1107,1479,1552,1801,1708,1558,1586,1117,976,952,664,417,0,0
2024,2024-01-19,Northbound,Heavy Vehicles,43,27,43,39,61,116,154,114,114,118,101,81,79,70,72,76,48,57,40,29,45,34,29,21,0,0
2024,2024-01-19,Northbound,Light Vehicles,98,52,49,62,128,305,560,414,526,484,424,462,437,492,489,538,544,563,528,340,328,347,308,216,0,0
2024,2024-01-19,Northbound,All Vehicles,141,79,92,101,189,421,714,528,640,602,525,543,516,562,561,614,592,620,568,369,373,381,337,237,0,0
2024,2024-01-20,Northbound,Light Vehicles,292,168,133,100,180,586,1212,1187,1215,1320,1649,1662,1697,1580,1745,1833,1534,1505,1304,1000,948,854,786,570,0,0
2024,2024-01-20,Northbound,Heavy Vehicles,40,28,27,26,46,107,203,197,142,110,108,121,103,77,79,103,75,72,70,46,48,39,38,25,0,0
2024,2024-01-20,Northbound,All Vehicles,332,196,160,126,226,693,1415,1384,1357,1430,1757,1783,1800,1657,1824,1936,1609,1577,1374,1046,996,893,824,595,0,0
2024,2024-01-21,Northbound,Heavy Vehicles,21,17,11,15,30,31,43,78,80,72,91,101,86,78,73,74,63,74,57,54,56,51,49,42,0,0
2024,2024-01-21,Northbound,Light Vehicles,339,220,145,106,124,379,600,630,986,1289,1851,1878,1822,1591,1657,1680,1557,1359,1208,787,840,770,580,310,0,0
2024,2024-01-21,Northbound,All Vehicles,360,237,156,121,154,410,643,708,1066,1361,1942,1979,1908,1669,1730,1754,1620,1433,1265,841,896,821,629,352,0,0
2024,2024-01-22,Northbound,Light Vehicles,173,93,80,104,318,1170,1880,1681,1703,1529,1285,1252,1285,1326,1375,1518,1400,1484,1236,902,741,673,466,278,0,0
2024,2024-01-22,Northbound,Heavy Vehicles,40,28,49,59,78,177,376,322,209,250,246,240,222,225,188,150,136,121,106,78,76,63,64,49,0,0
2024,2024-01-22,Northbound,All Vehicles,213,121,129,163,396,1347,2256,2003,1912,1779,1531,1492,1507,1551,1563,1668,1536,1605,1342,980,817,736,530,327,0,0
2024,2024-01-23,Northbound,Heavy Vehicles,36,38,45,53,105,219,392,300,167,275,256,228,213,213,179,176,129,128,82,89,70,74,61,,0,0
2024,2024-01-23,Northbound,Light Vehicles,135,85,71,112,264,1112,1874,1647,1423,1672,1257,1139,1170,1239,1469,1426,1450,1147,1252,983,800,641,476,,0,0
2024,2024-01-23,Northbound,All Vehicles,171,123,116,165,369,1331,2266,1947,1590,1947,1513,1367,1383,1452,1648,1602,1579,1275,1334,1072,870,715,537,,0,0
2024,2024-01-24,Northbound,Heavy Vehicles,54,34,45,53,91,223,361,230,225,198,194,250,205,176,180,154,118,98,103,83,63,65,44,50,0,0
2024,2024-01-24,Northbound,Light Vehicles,107,54,51,67,226,1020,1739,1331,1603,1009,983,1404,1387,1199,1372,1373,1393,1191,1287,999,821,765,556,321,0,0
2024,2024-01-24,Northbound,All Vehicles,161,88,96,120,317,1243,2100,1561,1828,1207,1177,1654,1592,1375,1552,1527,1511,1289,1390,1082,884,830,600,371,0,0
2024,2024-01-25,Northbound,Light Vehicles,157,90,74,106,273,904,1935,1441,1681,1650,1540,1411,1471,1402,1491,1691,1604,1419,1623,1236,1019,983,747,435,0,0
2024,2024-01-25,Northbound,Heavy Vehicles,42,55,44,56,115,183,397,286,227,265,282,214,202,215,171,163,136,107,109,100,83,52,59,39,0,0
2024,2024-01-25,Northbound,All Vehicles,199,145,118,162,388,1087,2332,1727,1908,1915,1822,1625,1673,1617,1662,1854,1740,1526,1732,1336,1102,1035,806,474,0,0
2024,2024-01-26,Northbound,Heavy Vehicles,27,20,19,23,54,47,89,101,92,84,101,74,69,67,42,58,55,40,42,37,30,28,28,29,0,0
2024,2024-01-26,Northbound,Light Vehicles,278,160,102,128,147,423,725,762,1000,1144,1617,1786,1687,1469,1228,1308,1117,1061,933,778,761,769,631,462,0,0
2024,2024-01-26,Northbound,All Vehicles,305,180,121,151,201,470,814,863,1092,1228,1718,1860,1756,1536,1270,1366,1172,1101,975,815,791,797,659,491,0,0
2024,2024-01-27,Northbound,Heavy Vehicles,19,16,15,22,27,50,128,123,102,101,75,100,102,79,74,88,78,61,67,38,41,37,33,25,0,0
2024,2024-01-27,Northbound,Light Vehicles,267,153,100,94,156,391,824,819,1108,1356,1374,1674,1685,1367,1672,1620,1575,1536,1265,953,821,889,689,517,0,0
2024,2024-01-27,Northbound,All Vehicles,286,169,115,116,183,441,952,942,1210,1457,1449,1774,1787,1446,1746,1708,1653,1597,1332,991,862,926,722,542,0,0
2024,2024-01-28,Northbound,Heavy Vehicles,28,12,9,19,23,26,44,58,62,76,69,55,50,67,69,,59,59,71,65,51,49,49,45,0,0
2024,2024-01-28,Northbound,Light Vehicles,396,312,121,109,141,290,527,542,786,1151,1419,1219,1564,1395,1701,,1579,1354,1217,1080,897,803,524,318,0,0
2024,2024-01-28,Northbound,All Vehicles,424,324,130,128,164,316,571,600,848,1227,1488,1274,1614,1462,1770,,1638,1413,1288,1145,948,852,573,363,0,0
2024,2024-01-29,Northbound,Heavy Vehicles,31,24,43,46,100,218,345,296,211,184,240,233,172,183,158,193,141,96,90,66,74,54,54,36,0,0
2024,2024-01-29,Northbound,Light Vehicles,187,79,81,113,301,1112,1848,1638,1636,1149,1092,1076,1055,1270,1193,1380,1607,1166,1223,887,785,736,495,275,0,0
2024,2024-01-29,Northbound,All Vehicles,218,103,124,159,401,1330,2193,1934,1847,1333,1332,1309,1227,1453,1351,1573,1748,1262,1313,953,859,790,549,311,0,0
2024,2024-01-30,Northbound,Light Vehicles,149,87,66,109,275,1101,1895,1447,1436,1203,1164,1262,1134,1209,1391,1276,1597,1250,1181,929,,,581,288,0,0
