the_geom,station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,NORTH,UNCLASSIFIED,2024,ALL DAYS,5824,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,SOUTH,UNCLASSIFIED,2024,ALL DAYS,3749,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,BOTH,UNCLASSIFIED,2024,ALL DAYS,9573,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,NORTH,UNCLASSIFIED,2024,AM PEAK,1309,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,SOUTH,UNCLASSIFIED,2024,AM PEAK,912,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,BOTH,UNCLASSIFIED,2024,AM PEAK,2221,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,NORTH,UNCLASSIFIED,2024,OFF PEAK,3243,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,SOUTH,UNCLASSIFIED,2024,OFF PEAK,1892,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,BOTH,UNCLASSIFIED,2024,OFF PEAK,5135,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,NORTH,UNCLASSIFIED,2024,PM PEAK,1238,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,SOUTH,UNCLASSIFIED,2024,PM PEAK,1003,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,BOTH,UNCLASSIFIED,2024,PM PEAK,2241,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,NORTH,UNCLASSIFIED,2024,WEEKDAYS,5790,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,SOUTH,UNCLASSIFIED,2024,WEEKDAYS,3807,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,BOTH,UNCLASSIFIED,2024,WEEKDAYS,9597,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,NORTH,UNCLASSIFIED,2024,WEEKENDS,5892,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,SOUTH,UNCLASSIFIED,2024,WEEKENDS,3612,-33.874722,151.216217
0101000020E6100000DBFAE93FEBE66240BD8BF7E3F6EF40C0,02393,Crown Street,Darlinghurst,BOTH,UNCLASSIFIED,2024,WEEKENDS,9504,-33.874722,151.216217
0101000020E6100000C77F812040E66240E0D6DD3CD5EF40C0,02413,Allen Street,Pyrmont,NORTH,UNCLASSIFIED,2024,ALL DAYS,8929,-33.873695,151.195328
0101000020E6100000C77F812040E66240E0D6DD3CD5EF40C0,02413,Allen Street,Pyrmont,NORTH,UNCLASSIFIED,2024,AM PEAK,2418,-33.873695,151.195328
0101000020E6100000C77F812040E66240E0D6DD3CD5EF40C0,02413,Allen Street,Pyrmont,NORTH,UNCLASSIFIED,2024,OFF PEAK,4068,-33.873695,151.195328
0101000020E6100000C77F812040E66240E0D6DD3CD5EF40C0,02413,Allen Street,Pyrmont,NORTH,UNCLASSIFIED,2024,PM PEAK,2244,-33.873695,151.195328
0101000020E6100000C77F812040E66240E0D6DD3CD5EF40C0,02413,Allen Street,Pyrmont,NORTH,UNCLASSIFIED,2024,WEEKDAYS,8730,-33.873695,151.195328
0101000020E6100000C77F812040E66240E0D6DD3CD5EF40C0,02413,Allen Street,Pyrmont,NORTH,UNCLASSIFIED,2024,WEEKENDS,8822,-33.873695,151.195328
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,BOTH,UNCLASSIFIED,2024,ALL DAYS,13601,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,EAST,UNCLASSIFIED,2024,ALL DAYS,7145,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,WEST,UNCLASSIFIED,2024,ALL DAYS,6456,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,BOTH,UNCLASSIFIED,2024,AM PEAK,3756,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,EAST,UNCLASSIFIED,2024,AM PEAK,2405,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,WEST,UNCLASSIFIED,2024,AM PEAK,1351,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,BOTH,UNCLASSIFIED,2024,OFF PEAK,6484,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,EAST,UNCLASSIFIED,2024,OFF PEAK,3302,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,WEST,UNCLASSIFIED,2024,OFF PEAK,3182,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,BOTH,UNCLASSIFIED,2024,PM PEAK,4421,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,EAST,UNCLASSIFIED,2024,PM PEAK,2024,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,WEST,UNCLASSIFIED,2024,PM PEAK,2397,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,BOTH,UNCLASSIFIED,2024,WEEKDAYS,14661,-32.982449,151.668076
