year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-14,Northbound,Light Vehicles,129,91,91,55,33,92,145,257,375,507,560,591,648,532,493,537,525,474,356,295,302,172,126,71,0,0
2024,2024-01-14,Northbound,All Vehicles,135,94,94,60,34,98,163,279,404,555,608,640,691,568,533,572,558,507,377,311,321,178,131,74,0,0
2024,2024-01-15,Northbound,Light Vehicles,49,29,21,27,87,341,635,954,902,632,516,550,575,522,519,549,618,649,408,253,180,134,74,39,0,0
2024,2024-01-15,Northbound,Heavy Vehicles,3,3,5,4,9,47,109,110,96,83,78,70,72,78,54,49,47,53,34,19,15,10,4,1,0,0
2024,2024-01-15,Northbound,All Vehicles,52,32,26,31,96,388,744,1064,998,715,594,620,647,600,573,598,665,702,442,272,195,144,78,40,0,0
2024,2024-01-16,Northbound,Heavy Vehicles,1,1,1,2,7,61,106,126,96,91,100,91,69,72,73,69,58,55,34,21,16,8,5,2,0,0
2024,2024-01-16,Northbound,Light Vehicles,16,12,13,29,77,367,656,962,1009,698,605,584,571,576,564,617,687,689,494,307,227,172,106,63,0,0
2024,2024-01-16,Northbound,All Vehicles,17,13,14,31,84,428,762,1088,1105,789,705,675,640,648,637,686,745,744,528,328,243,180,111,65,0,0
2024,2024-01-17,Northbound,Heavy Vehicles,1,1,1,2,20,55,105,109,101,87,80,66,81,71,78,88,86,49,32,21,16,12,5,6,0,0
2024,2024-01-17,Northbound,Light Vehicles,15,9,15,29,83,371,737,995,981,718,657,632,575,549,567,612,698,826,495,280,245,158,80,56,0,0
2024,2024-01-17,Northbound,All Vehicles,16,10,16,31,103,426,842,1104,1082,805,737,698,656,620,645,700,784,875,527,301,261,170,85,62,0,0
2024,2024-01-18,Northbound,Light Vehicles,29,18,20,24,81,357,684,934,846,666,643,593,640,581,658,634,588,714,610,401,332,284,100,71,0,0
2024,2024-01-18,Northbound,Heavy Vehicles,,4,3,2,15,55,109,114,98,93,82,82,81,75,73,78,74,57,34,31,16,15,10,5,0,0
2024,2024-01-18,Northbound,All Vehicles,29,22,23,26,96,412,793,1048,944,759,725,675,721,656,731,712,662,771,644,432,348,299,110,76,0,0
2024,2024-01-19,Northbound,Heavy Vehicles,1,,1,2,10,23,47,47,50,62,37,45,40,37,47,37,37,29,20,24,14,18,4,2,0,0
2024,2024-01-19,Northbound,Light Vehicles,22,23,9,16,43,201,379,537,516,424,388,447,446,349,406,389,450,500,407,287,226,174,142,104,0,0
2024,2024-01-19,Northbound,All Vehicles,23,23,10,18,53,224,426,584,566,486,425,492,486,386,453,426,487,529,427,311,240,192,146,106,0,0
2024,2024-01-20,Northbound,Heavy Vehicles,3,5,4,,7,14,30,57,48,51,58,58,51,48,38,48,36,37,30,27,23,22,15,4,0,0
2024,2024-01-20,Northbound,Light Vehicles,88,68,47,41,49,159,298,531,534,640,641,726,661,570,578,555,538,617,536,444,315,297,238,178,0,0
2024,2024-01-20,Northbound,All Vehicles,91,73,51,41,56,173,328,588,582,691,699,784,712,618,616,603,574,654,566,471,338,319,253,182,0,0
2024,2024-01-21,Northbound,Light Vehicles,134,90,81,48,46,116,212,273,441,502,634,646,650,568,508,493,522,506,434,362,329,224,107,87,0,0
2024,2024-01-21,Northbound,Heavy Vehicles,8,3,3,3,5,18,19,27,43,38,40,41,34,44,49,30,31,50,25,21,20,11,3,6,0,0
2024,2024-01-21,Northbound,All Vehicles,142,93,84,51,51,134,231,300,484,540,674,687,684,612,557,523,553,556,459,383,349,235,110,93,0,0
2024,2024-01-22,Northbound,Light Vehicles,42,35,22,39,71,343,692,900,931,636,620,597,546,525,576,642,649,644,428,264,202,132,70,30,0,0
2024,2024-01-22,Northbound,Heavy Vehicles,3,,4,4,19,58,94,115,87,88,83,84,75,57,92,76,73,37,35,18,14,10,4,3,0,0
2024,2024-01-22,Northbound,All Vehicles,45,35,26,43,90,401,786,1015,1018,724,703,681,621,582,668,718,722,681,463,282,216,142,74,33,0,0
