year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-16,Southbound,Heavy Vehicles,16,19,26,31,37,77,130,129,110,116,100,79,83,86,70,76,64,53,41,37,21,27,11,18,0,0
2024,2024-01-16,Southbound,All Vehicles,46,39,42,34,55,166,313,382,388,379,400,366,382,408,385,412,370,289,247,179,137,122,60,54,0,0
2024,2024-01-17,Southbound,Heavy Vehicles,22,15,25,29,32,82,119,141,133,141,95,99,90,84,63,67,55,47,41,36,35,25,21,22,0,0
2024,2024-01-17,Southbound,Light Vehicles,31,24,11,7,21,99,230,347,322,338,327,354,402,363,354,395,359,281,233,196,142,102,57,38,0,0
2024,2024-01-17,Southbound,All Vehicles,53,39,36,36,53,181,349,488,455,479,422,453,492,447,417,462,414,328,274,232,177,127,78,60,0,0
2024,2024-01-18,Southbound,Light Vehicles,22,23,12,8,25,91,161,228,267,293,278,348,336,341,337,361,351,338,228,217,151,102,62,45,0,0
2024,2024-01-18,Southbound,Heavy Vehicles,14,27,11,34,28,60,129,135,113,113,96,75,79,69,66,65,66,57,52,39,34,30,16,17,0,0
2024,2024-01-18,Southbound,All Vehicles,36,50,23,42,53,151,290,363,380,406,374,423,415,410,403,426,417,395,280,256,185,132,78,62,0,0
2024,2024-01-19,Southbound,Light Vehicles,35,32,15,11,31,116,198,252,295,355,392,504,502,580,579,629,587,509,403,365,286,162,94,66,0,0
2024,2024-01-19,Southbound,Heavy Vehicles,21,25,23,26,39,83,135,133,122,111,103,100,104,90,106,99,49,62,64,47,37,26,22,20,0,0
2024,2024-01-19,Southbound,All Vehicles,56,57,38,37,70,199,333,385,417,466,495,604,606,670,685,728,636,571,467,412,323,188,116,86,0,0
2024,2024-01-20,Southbound,Light Vehicles,44,34,16,8,15,41,77,135,274,457,608,628,609,645,658,635,611,478,389,315,246,196,123,78,0,0
2024,2024-01-20,Southbound,Heavy Vehicles,9,20,16,10,21,28,38,43,42,51,64,49,51,69,62,54,53,41,26,20,28,18,14,17,0,0
2024,2024-01-20,Southbound,All Vehicles,53,54,32,18,36,69,115,178,316,508,672,677,660,714,720,689,664,519,415,335,274,214,137,95,0,0
2024,2024-01-21,Southbound,Light Vehicles,51,35,19,8,19,18,42,83,172,329,462,556,661,725,930,821,868,760,592,530,375,254,169,110,0,0
2024,2024-01-21,Southbound,Heavy Vehicles,5,9,13,10,2,8,13,21,32,40,43,57,62,68,55,64,69,50,47,34,32,25,14,19,0,0
2024,2024-01-21,Southbound,All Vehicles,56,44,32,18,21,26,55,104,204,369,505,613,723,793,985,885,937,810,639,564,407,279,183,129,0,0
2024,2024-01-22,Southbound,Heavy Vehicles,10,13,20,22,30,86,140,159,135,141,103,83,97,79,87,72,74,71,58,40,24,30,17,24,0,0
2024,2024-01-22,Southbound,Light Vehicles,59,38,6,10,45,169,289,444,429,364,355,420,456,422,505,429,414,331,274,182,162,114,66,49,0,0
2024,2024-01-22,Southbound,All Vehicles,69,51,26,32,75,255,429,603,564,505,458,503,553,501,592,501,488,402,332,222,186,144,83,73,0,0
2024,2024-01-23,Southbound,Light Vehicles,41,13,21,10,28,132,234,348,390,379,354,334,383,399,404,395,375,337,229,179,139,100,76,67,0,0
2024,2024-01-23,Southbound,Heavy Vehicles,22,25,27,33,44,92,125,157,137,128,120,86,84,93,90,81,66,73,43,49,27,27,30,27,0,0
2024,2024-01-23,Southbound,All Vehicles,63,38,48,43,72,224,359,505,527,507,474,420,467,492,494,476,441,410,272,228,166,127,106,94,0,0
2024,2024-01-24,Southbound,Heavy Vehicles,25,23,20,25,43,90,175,171,157,117,99,92,82,70,88,105,65,58,48,49,31,24,29,22,0,0
2024,2024-01-24,Southbound,Light Vehicles,31,33,14,15,32,111,246,377,359,326,368,345,356,389,431,388,362,364,252,231,172,112,96,36,0,0
2024,2024-01-24,Southbound,All Vehicles,56,56,34,40,75,201,421,548,516,443,467,437,438,459,519,493,427,422,300,280,203,136,125,58,0,0
2024,2024-01-25,Southbound,Heavy Vehicles,16,34,27,31,46,82,124,119,109,128,97,96,83,84,87,66,59,58,59,46,42,39,25,19,0,0
2024,2024-01-25,Southbound,Light Vehicles,25,36,18,10,29,85,166,227,280,302,334,382,423,437,470,489,481,430,409,420,331,254,140,98,0,0
2024,2024-01-25,Southbound,All Vehicles,41,70,45,41,75,167,290,346,389,430,431,478,506,521,557,555,540,488,468,466,373,293,165,117,0,0
