date,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_heavy,public_holiday,school_holiday,temp_c,wind_speed_ms,wind_dir_deg,rain_mm,weather_source_type,no2_pphm,matched_aq_site,aq_distance_km,has_no2_coverage,day_of_week,is_weekend,month,season_Autumn,season_Spring,season_Summer,season_Winter,road_Highway,road_Local Street,road_Major Road,heavy_pct,is_rainy,log_no2_pphm,traffic_volume_total_lag1,no2_pphm_lag1,traffic_volume_total_roll7,has_wind_data,stn_100001,stn_10011,stn_6109,stn_6119-PR,stn_6124,stn_6135-PR,stn_6178-PR,stn_7211,stn_7212,stn_7216,stn_MUB001
2024-01-14,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,31362.0,1365.0,0,0,23.291666666666668,2.2291666666666665,169.12916666666666,4.4,metro_hourly,-0.0521739130434782,LIVERPOOL,4.8,True,6,1,1,0,0,1,0,0,1,0,4.352400994834514,1,0.0,37699.0,0.2523809523809524,38238.42857142857,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-15,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,38528.0,4522.0,0,0,20.366666666666667,2.2333333333333334,143.57083333333333,10.8,metro_hourly,0.2478260869565217,LIVERPOOL,4.8,True,0,0,1,0,0,1,0,0,1,0,11.736918604651162,1,0.22140290683642572,31362.0,-0.0521739130434782,38321.28571428572,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-16,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,40742.0,4870.0,0,0,21.575,1.6416666666666666,145.16666666666666,2.0,metro_hourly,0.6260869565217392,LIVERPOOL,4.8,True,1,0,1,0,0,1,0,0,1,0,11.953266899023122,1,0.4861764884913366,38528.0,0.2478260869565217,38452.28571428572,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-17,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,40733.0,4970.0,0,0,23.73333333333333,1.4041666666666668,103.3625,10.4,metro_hourly,0.7956521739130435,LIVERPOOL,4.8,True,2,0,1,0,0,1,0,0,1,0,12.201409176834508,1,0.5853682840378375,40742.0,0.6260869565217392,38654.0,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-18,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,42554.0,4813.0,0,0,26.03333333333333,1.825,236.1208333333333,0.2,metro_hourly,1.25,LIVERPOOL,4.8,True,3,0,1,0,0,1,0,0,1,0,11.310335103633031,0,0.8109302162163288,40733.0,0.7956521739130435,38769.28571428572,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-19,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,43882.0,4880.0,0,0,23.679166666666664,2.525,196.325,0.0,metro_hourly,0.3619047619047619,LIVERPOOL,4.8,True,4,0,1,0,0,1,0,0,1,0,11.12073287452714,0,0.3088842801023839,42554.0,1.25,39112.57142857143,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-20,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,39426.0,2215.0,0,0,24.258333333333336,2.6916666666666664,61.1125,0.0,metro_hourly,0.0869565217391304,LIVERPOOL,4.8,True,5,1,1,0,0,1,0,0,1,0,5.618120022320296,0,0.08338160893905103,43882.0,0.3619047619047619,39357.142857142855,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-21,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,31481.0,1345.0,0,0,28.816666666666663,1.8125,270.20416666666665,0.0,metro_hourly,0.2652173913043478,LIVERPOOL,4.8,True,6,1,1,0,0,1,0,0,1,0,4.2724182840443445,0,0.2352439582482971,39426.0,0.0869565217391304,39603.857142857145,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-22,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,40879.0,4727.0,0,0,22.245833333333334,1.7875,153.05416666666667,0.0,metro_hourly,0.0869565217391304,LIVERPOOL,4.8,True,0,0,1,0,0,1,0,0,1,0,11.56339440788669,0,0.08338160893905103,31481.0,0.2652173913043478,39620.857142857145,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-23,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,42172.0,5100.0,0,0,22.1,2.2041666666666666,98.525,0.4,metro_hourly,0.3782608695652174,LIVERPOOL,4.8,True,1,0,1,0,0,1,0,0,1,0,12.093332068671156,0,0.32082246495408523,40879.0,0.0869565217391304,39956.71428571428,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-24,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,42614.0,5088.0,0,0,25.166666666666668,1.4208333333333334,191.49166666666667,0.0,metro_hourly,1.0608695652173912,LIVERPOOL,4.8,True,2,0,1,0,0,1,0,0,1,0,11.939738114234759,0,0.7231280127718811,42172.0,0.3782608695652174,40161.0,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-25,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,45278.0,5089.0,0,0,26.641666666666666,1.1916666666666669,199.5625,0.0,metro_hourly,1.5391304347826087,LIVERPOOL,4.8,True,3,0,1,0,0,1,0,0,1,0,11.239454039489377,0,0.9318216739050317,42614.0,1.0608695652173912,40429.71428571428,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-26,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,16829.0,913.0,1,0,26.6125,2.0708333333333333,213.57916666666665,0.0,metro_hourly,0.3391304347826087,LIVERPOOL,4.8,True,4,0,1,0,0,1,0,0,1,0,5.425158951809377,0,0.29202047405037906,45278.0,1.5391304347826087,40818.857142857145,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-27,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,35774.0,1754.0,0,0,21.20833333333333,1.4291666666666665,170.23749999999998,0.8,metro_hourly,0.1181818181818181,LIVERPOOL,4.8,True,5,1,1,0,0,1,0,0,1,0,4.903002180354448,0,0.1117039895800012,16829.0,0.3391304347826087,36954.142857142855,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-28,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,32835.0,1370.0,0,0,22.433333333333334,2.120833333333333,162.32916666666668,0.0,metro_hourly,0.117391304347826,LIVERPOOL,4.8,True,6,1,1,0,0,1,0,0,1,0,4.172377036698645,0,0.11099677597202436,35774.0,0.1181818181818181,36432.42857142857,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-29,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,40793.0,4777.0,0,0,25.9375,2.316666666666667,131.54166666666666,0.0,metro_hourly,0.3869565217391305,LIVERPOOL,4.8,True,0,0,1,0,0,1,0,0,1,0,11.7103424607163,0,0.32711179386164924,32835.0,0.117391304347826,36625.857142857145,1,1,0,0,0,0,0,0,0,0,0,0
