date,hour_ending,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_light,traffic_volume_heavy,public_holiday,school_holiday,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,rain_mm,no2_pphm,co_ppm,ozone_pphm,matched_aq_site,aq_distance_km,has_no2_coverage
2024-01-04,4,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,171.0,43.0,128.0,0,0,17.1,92.2,0.3,53.6,0.2,0.3,,1.8,GOULBURN,78.1,True
2024-01-04,5,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,171.0,54.0,117.0,0,0,16.7,95.7,0.2,52.5,0.0,0.6,,0.9,GOULBURN,78.1,True
2024-01-04,6,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,213.0,99.0,114.0,0,0,17.2,95.3,0.6,69.6,0.0,0.9,,0.5,GOULBURN,78.1,True
2024-01-04,7,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,382.0,249.0,133.0,0,0,18.3,90.2,0.7,78.0,0.0,0.7,,1.3,GOULBURN,78.1,True
2024-01-04,8,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,648.0,470.0,178.0,0,0,19.9,84.9,0.6,107.6,0.0,0.8,,1.4,GOULBURN,78.1,True
2024-01-04,9,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,950.0,740.0,210.0,0,0,22.3,74.9,1.4,144.6,0.0,0.2,,2.5,GOULBURN,78.1,True
2024-01-04,10,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1349.0,1078.0,271.0,0,0,23.0,69.6,2.6,122.9,0.0,0.1,,3.0,GOULBURN,78.1,True
2024-01-04,11,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1669.0,1394.0,275.0,0,0,22.9,69.8,2.0,124.4,0.0,0.2,,3.0,GOULBURN,78.1,True
2024-01-04,12,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1883.0,1573.0,310.0,0,0,21.8,75.2,3.1,139.6,0.0,0.2,,2.9,GOULBURN,78.1,True
2024-01-04,13,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1822.0,1506.0,316.0,0,0,20.8,79.8,2.8,129.1,0.0,0.2,,3.0,GOULBURN,78.1,True
2024-01-04,14,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1742.0,1454.0,288.0,0,0,21.5,76.4,2.2,119.9,0.0,0.2,,3.0,GOULBURN,78.1,True
2024-01-04,15,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1673.0,1329.0,344.0,0,0,21.2,76.9,3.1,120.8,0.0,0.2,,2.9,GOULBURN,78.1,True
2024-01-04,16,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1555.0,1225.0,330.0,0,0,20.5,77.8,3.5,121.2,0.0,0.1,,2.7,GOULBURN,78.1,True
2024-01-04,17,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1373.0,1050.0,323.0,0,0,19.6,80.8,3.3,102.9,0.0,0.2,,2.6,GOULBURN,78.1,True
2024-01-04,18,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1123.0,829.0,294.0,0,0,19.0,82.8,2.7,105.3,0.0,0.1,,2.2,GOULBURN,78.1,True
2024-01-04,19,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,843.0,580.0,263.0,0,0,18.2,87.8,2.8,115.7,0.0,0.1,,2.0,GOULBURN,78.1,True
2024-01-04,20,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,628.0,373.0,255.0,0,0,17.9,87.6,2.6,104.0,0.0,0.1,,1.8,GOULBURN,78.1,True
2024-01-04,21,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,519.0,270.0,249.0,0,0,17.8,85.9,2.9,107.6,0.0,0.0,,1.8,GOULBURN,78.1,True
2024-01-04,22,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,411.0,180.0,231.0,0,0,17.5,86.5,2.8,97.0,0.0,0.1,,1.8,GOULBURN,78.1,True
2024-01-04,23,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,334.0,111.0,223.0,0,0,17.2,86.2,3.3,95.9,0.0,0.0,,1.8,GOULBURN,78.1,True
2024-01-04,24,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,268.0,82.0,186.0,0,0,16.7,89.0,2.2,83.1,0.0,0.1,,1.6,GOULBURN,78.1,True
2024-01-05,1,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,201.0,48.0,153.0,0,0,16.4,92.9,2.0,94.6,0.2,0.1,,1.5,GOULBURN,78.1,True
