date,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_light,traffic_volume_heavy,public_holiday,school_holiday,temp_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,wind_dir_deg,rain_mm,weather_source_type,no2_pphm,co_ppm,ozone_pphm,matched_aq_site,aq_distance_km,has_no2_coverage
2024-01-23,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12348.0,11152.0,1196.0,0,0,23.049999999999997,33.3,12.8,,,,0.0,bom_daily,0.32173913043478264,,2.3782608695652177,ALBURY,83.2,True
2024-01-24,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12627.0,11326.0,1301.0,0,0,27.099999999999998,34.8,19.4,,,,0.0,bom_daily,0.6391304347826087,,2.5217391304347827,ALBURY,83.2,True
2024-01-25,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,13709.0,12177.0,1532.0,0,0,26.25,29.4,23.1,,,,0.0,bom_daily,0.8391304347826087,,1.8130434782608698,ALBURY,83.2,True
2024-01-26,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,13516.0,12368.0,1148.0,1,0,21.049999999999997,26.4,15.7,,,,0.0,bom_daily,0.1956521739130435,,2.139130434782609,ALBURY,83.2,True
2024-01-27,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11257.0,10353.0,904.0,0,0,18.45,26.8,10.1,,,,0.0,bom_daily,0.2826086956521739,,1.8521739130434782,ALBURY,83.2,True
2024-01-28,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10895.0,9985.0,910.0,0,0,21.35,30.1,12.6,,,,0.0,bom_daily,0.3521739130434782,,2.1217391304347823,ALBURY,83.2,True
2024-01-29,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11364.0,10248.0,1116.0,0,0,23.549999999999997,33.8,13.3,,,,0.0,bom_daily,0.4869565217391304,,2.7956521739130435,ALBURY,83.2,True
2024-01-30,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11064.0,10010.0,1054.0,0,0,26.8,35.5,18.1,,,,0.0,bom_daily,0.3,,3.2217391304347824,ALBURY,83.2,True
2024-01-31,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10997.0,10127.0,870.0,0,0,22.75,31.8,13.7,,,,0.0,bom_daily,0.42173913043478256,,2.256521739130435,ALBURY,83.2,True
2024-02-01,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11522.0,10611.0,911.0,0,1,22.95,33.0,12.9,,,,0.0,bom_daily,0.30434782608695654,,2.4217391304347826,ALBURY,83.2,True
2024-02-02,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12454.0,11492.0,962.0,0,1,22.0,29.1,14.9,,,,0.0,bom_daily,0.23043478260869565,,2.0521739130434784,ALBURY,83.2,True
2024-02-03,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10356.0,9746.0,610.0,0,1,23.7,35.8,11.6,,,,0.0,bom_daily,0.5043478260869566,,2.234782608695652,ALBURY,83.2,True
2024-02-04,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,8094.0,7664.0,430.0,0,1,26.95,39.4,14.5,,,,0.0,bom_daily,0.3521739130434782,,2.4217391304347826,ALBURY,83.2,True
2024-02-05,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10466.0,9644.0,822.0,0,1,28.75,32.5,25.0,,,,0.0,bom_daily,0.49090909090909096,,2.4545454545454546,ALBURY,83.2,True
2024-02-06,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11405.0,10176.0,1229.0,0,0,20.35,27.2,13.5,,,,11.8,bom_daily,0.30434782608695654,,1.982608695652174,ALBURY,83.2,True
2024-02-07,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11192.0,10365.0,827.0,0,0,19.45,28.8,10.1,,,,0.0,bom_daily,0.3739130434782609,,1.791304347826087,ALBURY,83.2,True
2024-02-08,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11563.0,10534.0,1029.0,0,0,31.1,31.1,,,,,0.0,bom_daily,0.3826086956521739,,2.0478260869565217,ALBURY,83.2,True
2024-02-09,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12617.0,11485.0,1132.0,0,0,23.9,32.1,15.7,,,,0.0,bom_daily,0.42608695652173917,,2.091304347826087,ALBURY,83.2,True
2024-02-10,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10591.0,9835.0,756.0,0,0,23.700000000000003,33.7,13.7,,,,0.0,bom_daily,0.1391304347826087,,2.1739130434782608,ALBURY,83.2,True
2024-02-11,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,8552.0,7973.0,579.0,0,0,25.95,33.3,18.6,,,,0.0,bom_daily,0.2652173913043478,,2.1913043478260867,ALBURY,83.2,True
2024-02-12,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10747.0,9758.0,989.0,0,0,26.75,36.7,16.8,,,,0.0,bom_daily,0.5954545454545455,,2.3727272727272726,ALBURY,83.2,True
2024-02-13,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10504.0,9488.0,1016.0,0,0,29.95,38.5,21.4,,,,0.0,bom_daily,0.5782608695652174,,2.391304347826087,ALBURY,83.2,True
2024-02-14,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11664.0,10274.0,1390.0,0,0,19.25,25.3,13.2,,,,7.2,bom_daily,0.3130434782608696,,2.095652173913044,ALBURY,83.2,True
2024-02-15,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11576.0,10244.0,1332.0,0,0,19.9,30.8,9.0,,,,0.0,bom_daily,0.5217391304347826,,2.5782608695652174,ALBURY,83.2,True
2024-02-16,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12108.0,11124.0,984.0,0,0,24.1,33.9,14.3,,,,0.0,bom_daily,0.6130434782608696,,2.1217391304347823,ALBURY,83.2,True
2024-02-17,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10635.0,10098.0,537.0,0,0,25.7,35.8,15.6,,,,0.0,bom_daily,0.5260869565217391,,2.817391304347826,ALBURY,83.2,True
2024-02-18,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,8824.0,8405.0,419.0,0,0,24.15,34.3,14.0,,,,0.0,bom_daily,0.491304347826087,,2.4695652173913043,ALBURY,83.2,True
2024-02-19,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10612.0,9863.0,749.0,0,0,24.0,35.2,12.8,,,,0.0,bom_daily,0.591304347826087,,2.904347826086956,ALBURY,83.2,True
2024-02-20,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10803.0,9665.0,1138.0,0,0,26.450000000000003,34.6,18.3,,,,0.0,bom_daily,0.42173913043478256,,2.7130434782608694,ALBURY,83.2,True
2024-02-21,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10818.0,9755.0,1063.0,0,0,25.65,32.8,18.5,,,,7.8,bom_daily,0.39565217391304347,,2.9869565217391307,ALBURY,83.2,True
2024-02-22,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11308.0,10128.0,1180.0,0,0,28.0,38.3,17.7,,,,0.0,bom_daily,0.4739130434782609,,2.717391304347826,ALBURY,83.2,True
2024-02-23,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12237.0,11092.0,1145.0,0,0,22.65,26.9,18.4,,,,0.0,bom_daily,0.6,,2.4434782608695653,ALBURY,83.2,True
2024-02-24,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10235.0,9427.0,808.0,0,0,21.1,30.1,12.1,,,,0.0,bom_daily,0.4782608695652174,,2.017391304347826,ALBURY,83.2,True
2024-02-25,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,8728.0,8092.0,636.0,0,0,22.5,32.8,12.2,,,,0.0,bom_daily,0.46956521739130436,,2.2956521739130435,ALBURY,83.2,True
2024-02-26,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10588.0,9507.0,1081.0,0,0,25.65,34.6,16.7,,,,0.0,bom_daily,0.6130434782608696,,2.717391304347826,ALBURY,83.2,True
2024-02-27,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11117.0,10046.0,1071.0,0,0,23.7,35.4,12.0,,,,0.0,bom_daily,0.5260869565217391,,2.508695652173913,ALBURY,83.2,True
2024-02-28,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10665.0,9618.0,1047.0,0,0,28.6,39.0,18.2,,,,0.0,bom_daily,0.7999999999999999,,2.8304347826086955,ALBURY,83.2,True
2024-02-29,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11695.0,10608.0,1087.0,0,0,28.65,35.4,21.9,,,,0.0,bom_daily,0.9304347826086956,,2.465217391304348,ALBURY,83.2,True
2024-03-01,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12647.0,11453.0,1194.0,0,0,24.6,34.6,14.6,,,,0.0,bom_daily,0.7565217391304347,,2.482608695652174,ALBURY,83.2,True
2024-03-02,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10323.0,9623.0,700.0,0,0,22.85,29.4,16.3,,,,0.0,bom_daily,0.42173913043478267,,2.0869565217391304,ALBURY,83.2,True
