Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066137,2024,01,01,25.3,1,Y
IDCJAC0010,066137,2024,01,02,28.9,1,Y
IDCJAC0010,066137,2024,01,03,30.0,1,Y
IDCJAC0010,066137,2024,01,04,28.7,1,Y
IDCJAC0010,066137,2024,01,05,25.8,1,Y
IDCJAC0010,066137,2024,01,06,27.1,1,Y
IDCJAC0010,066137,2024,01,07,28.8,1,Y
IDCJAC0010,066137,2024,01,08,26.8,1,Y
IDCJAC0010,066137,2024,01,09,28.1,1,Y
IDCJAC0010,066137,2024,01,10,30.9,1,Y
IDCJAC0010,066137,2024,01,11,30.4,1,Y
IDCJAC0010,066137,2024,01,12,30.1,1,Y
IDCJAC0010,066137,2024,01,13,32.8,1,Y
IDCJAC0010,066137,2024,01,14,29.0,1,Y
IDCJAC0010,066137,2024,01,15,25.0,1,Y
IDCJAC0010,066137,2024,01,16,25.2,1,Y
IDCJAC0010,066137,2024,01,17,29.4,1,Y
IDCJAC0010,066137,2024,01,18,30.3,1,Y
IDCJAC0010,066137,2024,01,19,29.6,1,Y
IDCJAC0010,066137,2024,01,20,27.9,1,Y
IDCJAC0010,066137,2024,01,21,39.7,1,Y
IDCJAC0010,066137,2024,01,22,24.8,1,Y
IDCJAC0010,066137,2024,01,23,26.4,1,Y
IDCJAC0010,066137,2024,01,24,31.8,1,Y
IDCJAC0010,066137,2024,01,25,32.7,1,Y
IDCJAC0010,066137,2024,01,26,39.8,1,Y
IDCJAC0010,066137,2024,01,27,24.0,1,Y
IDCJAC0010,066137,2024,01,28,28.7,1,Y
IDCJAC0010,066137,2024,01,29,31.6,1,Y
IDCJAC0010,066137,2024,01,30,27.8,1,Y
IDCJAC0010,066137,2024,01,31,27.5,1,Y
IDCJAC0010,066137,2024,02,01,32.1,1,Y
IDCJAC0010,066137,2024,02,02,31.1,1,Y
IDCJAC0010,066137,2024,02,03,28.7,1,Y
IDCJAC0010,066137,2024,02,04,36.5,1,Y
IDCJAC0010,066137,2024,02,05,34.6,1,Y
IDCJAC0010,066137,2024,02,06,25.6,1,Y
IDCJAC0010,066137,2024,02,07,26.3,1,Y
IDCJAC0010,066137,2024,02,08,25.8,1,Y
IDCJAC0010,066137,2024,02,09,25.6,1,Y
IDCJAC0010,066137,2024,02,10,26.6,1,Y
IDCJAC0010,066137,2024,02,11,26.0,1,Y
IDCJAC0010,066137,2024,02,12,31.9,1,Y
IDCJAC0010,066137,2024,02,13,34.3,1,Y
IDCJAC0010,066137,2024,02,14,32.0,1,Y
IDCJAC0010,066137,2024,02,15,21.3,1,Y
IDCJAC0010,066137,2024,02,16,29.3,1,Y
