Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066212,2024,01,01,26.1,1,N
IDCJAC0010,066212,2024,01,02,28.9,1,N
IDCJAC0010,066212,2024,01,03,29.7,1,N
IDCJAC0010,066212,2024,01,04,27.7,1,N
IDCJAC0010,066212,2024,01,05,24.8,1,N
IDCJAC0010,066212,2024,01,06,26.7,1,N
IDCJAC0010,066212,2024,01,07,28.7,1,N
IDCJAC0010,066212,2024,01,08,27.3,1,N
IDCJAC0010,066212,2024,01,09,27.0,1,N
IDCJAC0010,066212,2024,01,10,30.2,1,N
IDCJAC0010,066212,2024,01,11,29.5,1,N
IDCJAC0010,066212,2024,01,12,29.0,1,N
IDCJAC0010,066212,2024,01,13,31.0,1,N
IDCJAC0010,066212,2024,01,14,27.5,1,N
IDCJAC0010,066212,2024,01,15,24.2,1,N
IDCJAC0010,066212,2024,01,16,24.8,1,N
IDCJAC0010,066212,2024,01,17,29.3,1,N
IDCJAC0010,066212,2024,01,18,30.8,1,N
IDCJAC0010,066212,2024,01,19,29.3,1,N
IDCJAC0010,066212,2024,01,20,27.2,1,N
IDCJAC0010,066212,2024,01,21,38.7,1,N
IDCJAC0010,066212,2024,01,22,23.8,1,N
IDCJAC0010,066212,2024,01,23,26.3,1,N
IDCJAC0010,066212,2024,01,24,31.8,1,N
IDCJAC0010,066212,2024,01,25,32.0,1,Y
IDCJAC0010,066212,2024,01,26,39.3,1,N
IDCJAC0010,066212,2024,01,27,24.5,1,N
IDCJAC0010,066212,2024,01,28,26.8,1,N
IDCJAC0010,066212,2024,01,29,30.5,1,N
IDCJAC0010,066212,2024,01,30,26.8,1,N
IDCJAC0010,066212,2024,01,31,27.2,1,N
IDCJAC0010,066212,2024,02,01,30.8,1,Y
IDCJAC0010,066212,2024,02,02,29.9,1,Y
IDCJAC0010,066212,2024,02,03,28.3,1,Y
IDCJAC0010,066212,2024,02,04,33.4,1,Y
IDCJAC0010,066212,2024,02,05,33.5,1,Y
IDCJAC0010,066212,2024,02,06,24.8,1,Y
IDCJAC0010,066212,2024,02,07,24.8,1,Y
IDCJAC0010,066212,2024,02,08,24.9,1,Y
IDCJAC0010,066212,2024,02,09,24.9,1,Y
IDCJAC0010,066212,2024,02,10,25.4,1,Y
IDCJAC0010,066212,2024,02,11,25.4,1,Y
IDCJAC0010,066212,2024,02,12,31.2,1,Y
IDCJAC0010,066212,2024,02,13,32.9,1,Y
IDCJAC0010,066212,2024,02,14,32.3,1,Y
IDCJAC0010,066212,2024,02,15,21.3,1,Y
IDCJAC0010,066212,2024,02,16,28.6,1,Y
IDCJAC0010,066212,2024,02,17,31.9,1,Y
IDCJAC0010,066212,2024,02,18,31.1,1,Y
IDCJAC0010,066212,2024,02,19,26.6,1,Y
IDCJAC0010,066212,2024,02,20,23.8,1,Y
IDCJAC0010,066212,2024,02,21,26.8,1,Y
IDCJAC0010,066212,2024,02,22,31.3,1,Y
IDCJAC0010,066212,2024,02,23,37.9,1,Y
IDCJAC0010,066212,2024,02,24,22.0,1,Y
IDCJAC0010,066212,2024,02,25,29.2,1,Y
IDCJAC0010,066212,2024,02,26,29.2,1,Y
IDCJAC0010,066212,2024,02,27,24.8,1,Y
IDCJAC0010,066212,2024,02,28,29.4,1,Y
IDCJAC0010,066212,2024,02,29,40.2,1,Y
IDCJAC0010,066212,2024,03,01,29.1,1,N
IDCJAC0010,066212,2024,03,02,26.1,1,N
IDCJAC0010,066212,2024,03,03,33.3,1,N
IDCJAC0010,066212,2024,03,04,23.2,1,N
IDCJAC0010,066212,2024,03,05,27.3,1,N
IDCJAC0010,066212,2024,03,06,31.0,1,N
IDCJAC0010,066212,2024,03,07,27.5,1,N
IDCJAC0010,066212,2024,03,08,29.6,1,N
IDCJAC0010,066212,2024,03,09,31.1,1,N
IDCJAC0010,066212,2024,03,10,31.2,1,N
IDCJAC0010,066212,2024,03,11,30.2,1,N
IDCJAC0010,066212,2024,03,12,35.3,1,Y
IDCJAC0010,066212,2024,03,13,29.1,1,N
IDCJAC0010,066212,2024,03,14,35.0,1,N
IDCJAC0010,066212,2024,03,15,24.5,1,N
IDCJAC0010,066212,2024,03,16,25.7,1,N
IDCJAC0010,066212,2024,03,17,23.2,1,N
IDCJAC0010,066212,2024,03,18,26.9,1,N
IDCJAC0010,066212,2024,03,19,29.5,1,N
IDCJAC0010,066212,2024,03,20,25.9,1,N
IDCJAC0010,066212,2024,03,21,22.1,1,N
