Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066124,2024,04,07,26.6,1,Y
IDCJAC0010,066124,2024,04,08,24.6,1,Y
IDCJAC0010,066124,2024,04,09,21.8,1,Y
IDCJAC0010,066124,2024,04,10,21.5,1,Y
IDCJAC0010,066124,2024,04,11,22.5,1,Y
IDCJAC0010,066124,2024,04,12,25.7,1,Y
IDCJAC0010,066124,2024,04,13,25.2,1,Y
IDCJAC0010,066124,2024,04,14,25.2,1,Y
IDCJAC0010,066124,2024,04,15,26.0,1,Y
IDCJAC0010,066124,2024,04,16,24.0,1,Y
IDCJAC0010,066124,2024,04,17,22.0,1,Y
IDCJAC0010,066124,2024,04,18,24.0,1,Y
IDCJAC0010,066124,2024,04,19,21.5,1,Y
IDCJAC0010,066124,2024,04,20,19.6,1,Y
IDCJAC0010,066124,2024,04,21,21.6,1,Y
IDCJAC0010,066124,2024,04,22,23.5,1,Y
IDCJAC0010,066124,2024,04,23,24.8,1,Y
IDCJAC0010,066124,2024,04,24,25.1,1,Y
IDCJAC0010,066124,2024,04,25,21.4,1,Y
IDCJAC0010,066124,2024,04,26,20.2,1,Y
IDCJAC0010,066124,2024,04,27,21.6,1,Y
IDCJAC0010,066124,2024,04,28,24.5,1,Y
IDCJAC0010,066124,2024,04,29,26.0,1,Y
IDCJAC0010,066124,2024,04,30,18.0,1,Y
IDCJAC0010,066124,2024,05,01,18.8,1,Y
IDCJAC0010,066124,2024,05,02,18.8,1,Y
IDCJAC0010,066124,2024,05,03,17.4,1,Y
IDCJAC0010,066124,2024,05,04,19.8,1,Y
IDCJAC0010,066124,2024,05,05,18.5,1,Y
IDCJAC0010,066124,2024,05,06,20.5,1,Y
IDCJAC0010,066124,2024,05,07,19.6,1,Y
IDCJAC0010,066124,2024,05,08,19.4,1,Y
IDCJAC0010,066124,2024,05,09,19.8,1,Y
IDCJAC0010,066124,2024,05,10,20.0,1,Y
IDCJAC0010,066124,2024,05,11,17.2,1,Y
IDCJAC0010,066124,2024,05,12,20.0,1,Y
IDCJAC0010,066124,2024,05,13,21.2,1,Y
IDCJAC0010,066124,2024,05,14,22.0,1,Y
IDCJAC0010,066124,2024,05,15,22.8,1,Y
IDCJAC0010,066124,2024,05,16,21.5,1,Y
IDCJAC0010,066124,2024,05,17,22.8,1,Y
IDCJAC0010,066124,2024,05,18,15.2,1,Y
IDCJAC0010,066124,2024,05,19,18.0,1,Y
IDCJAC0010,066124,2024,05,20,17.8,1,Y
IDCJAC0010,066124,2024,05,21,18.8,1,Y
IDCJAC0010,066124,2024,05,22,18.5,1,Y
IDCJAC0010,066124,2024,05,23,20.5,1,Y
IDCJAC0010,066124,2024,05,24,20.4,1,Y
IDCJAC0010,066124,2024,05,25,18.0,1,Y
IDCJAC0010,066124,2024,05,26,21.2,1,Y
IDCJAC0010,066124,2024,05,27,20.0,1,Y
IDCJAC0010,066124,2024,05,28,20.8,1,Y
IDCJAC0010,066124,2024,05,29,20.4,1,Y
IDCJAC0010,066124,2024,05,30,23.5,1,Y
IDCJAC0010,066124,2024,05,31,21.0,1,Y
IDCJAC0010,066124,2024,06,01,15.4,1,Y
IDCJAC0010,066124,2024,06,02,16.2,1,Y
IDCJAC0010,066124,2024,06,03,17.4,1,Y
IDCJAC0010,066124,2024,06,04,17.5,1,Y
IDCJAC0010,066124,2024,06,05,16.2,1,Y
IDCJAC0010,066124,2024,06,06,16.2,1,Y
IDCJAC0010,066124,2024,06,07,17.0,1,Y
IDCJAC0010,066124,2024,06,08,20.0,1,Y
IDCJAC0010,066124,2024,06,09,19.8,1,Y
IDCJAC0010,066124,2024,06,10,17.6,1,Y
IDCJAC0010,066124,2024,06,11,16.4,1,Y
IDCJAC0010,066124,2024,06,12,18.5,1,Y
IDCJAC0010,066124,2024,06,13,15.4,1,Y
IDCJAC0010,066124,2024,06,14,14.8,1,Y
IDCJAC0010,066124,2024,06,15,14.8,1,Y
IDCJAC0010,066124,2024,06,16,15.3,1,Y
IDCJAC0010,066124,2024,06,17,16.3,1,Y
IDCJAC0010,066124,2024,06,18,16.6,1,Y
IDCJAC0010,066124,2024,06,19,15.6,1,Y
IDCJAC0010,066124,2024,06,20,16.5,1,Y
IDCJAC0010,066124,2024,06,21,16.8,1,Y
IDCJAC0010,066124,2024,06,22,12.9,1,Y
IDCJAC0010,066124,2024,06,23,15.0,1,Y
IDCJAC0010,066124,2024,06,24,17.2,1,Y
IDCJAC0010,066124,2024,06,25,18.4,1,Y
IDCJAC0010,066124,2024,06,26,20.5,1,Y
IDCJAC0010,066124,2024,06,27,18.5,1,Y
IDCJAC0010,066124,2024,06,28,18.4,1,Y
IDCJAC0010,066124,2024,06,29,18.2,1,Y
IDCJAC0010,066124,2024,06,30,14.2,1,Y
IDCJAC0010,066124,2024,07,01,14.8,1,Y
IDCJAC0010,066124,2024,07,02,15.0,1,Y
IDCJAC0010,066124,2024,07,03,15.6,1,Y
IDCJAC0010,066124,2024,07,04,16.8,1,Y
IDCJAC0010,066124,2024,07,05,16.4,1,Y
IDCJAC0010,066124,2024,07,06,16.0,1,Y
IDCJAC0010,066124,2024,07,07,16.2,1,Y
IDCJAC0010,066124,2024,07,08,16.8,1,Y
IDCJAC0010,066124,2024,07,09,19.6,1,Y
IDCJAC0010,066124,2024,07,10,19.6,1,Y
IDCJAC0010,066124,2024,07,11,16.2,1,Y
