Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066212,2025,02,26,0.2,1,Y
IDCJAC0009,066212,2025,02,27,0.2,1,Y
IDCJAC0009,066212,2025,02,28,0.0,1,Y
IDCJAC0009,066212,2025,03,01,0.0,1,Y
IDCJAC0009,066212,2025,03,02,0.0,1,Y
IDCJAC0009,066212,2025,03,03,0.0,1,Y
IDCJAC0009,066212,2025,03,04,6.8,1,Y
IDCJAC0009,066212,2025,03,05,9.2,1,Y
IDCJAC0009,066212,2025,03,06,0.6,1,Y
IDCJAC0009,066212,2025,03,07,0.4,1,Y
IDCJAC0009,066212,2025,03,08,0.4,1,Y
IDCJAC0009,066212,2025,03,09,1.6,1,Y
IDCJAC0009,066212,2025,03,10,0.2,1,Y
IDCJAC0009,066212,2025,03,11,10.8,1,Y
IDCJAC0009,066212,2025,03,12,3.0,1,Y
IDCJAC0009,066212,2025,03,13,0.0,1,Y
IDCJAC0009,066212,2025,03,14,0.0,1,Y
IDCJAC0009,066212,2025,03,15,0.0,1,Y
IDCJAC0009,066212,2025,03,16,0.0,1,Y
IDCJAC0009,066212,2025,03,17,0.0,1,Y
IDCJAC0009,066212,2025,03,18,0.0,1,Y
IDCJAC0009,066212,2025,03,19,0.0,1,Y
IDCJAC0009,066212,2025,03,20,0.0,1,Y
IDCJAC0009,066212,2025,03,21,0.0,1,Y
IDCJAC0009,066212,2025,03,22,0.6,1,Y
IDCJAC0009,066212,2025,03,23,21.4,1,Y
IDCJAC0009,066212,2025,03,24,4.0,1,Y
IDCJAC0009,066212,2025,03,25,0.0,1,Y
IDCJAC0009,066212,2025,03,26,2.2,1,Y
IDCJAC0009,066212,2025,03,27,0.0,1,Y
IDCJAC0009,066212,2025,03,28,5.2,1,Y
IDCJAC0009,066212,2025,03,29,27.4,1,Y
IDCJAC0009,066212,2025,03,30,21.8,1,Y
IDCJAC0009,066212,2025,03,31,11.8,1,Y
IDCJAC0009,066212,2025,04,01,0.0,1,N
IDCJAC0009,066212,2025,04,02,0.0,1,N
IDCJAC0009,066212,2025,04,03,0.0,1,N
IDCJAC0009,066212,2025,04,04,0.0,1,N
IDCJAC0009,066212,2025,04,05,0.0,1,N
IDCJAC0009,066212,2025,04,06,0.0,1,N
IDCJAC0009,066212,2025,04,07,0.0,1,N
IDCJAC0009,066212,2025,04,08,0.0,1,N
IDCJAC0009,066212,2025,04,09,3.2,1,N
IDCJAC0009,066212,2025,04,10,0.2,1,N
IDCJAC0009,066212,2025,04,11,0.0,1,N
IDCJAC0009,066212,2025,04,12,0.0,1,N
IDCJAC0009,066212,2025,04,13,0.0,1,N
IDCJAC0009,066212,2025,04,14,0.2,1,N
IDCJAC0009,066212,2025,04,15,1.6,1,N
IDCJAC0009,066212,2025,04,16,0.0,1,N
IDCJAC0009,066212,2025,04,17,2.0,1,N
IDCJAC0009,066212,2025,04,18,0.2,1,N
IDCJAC0009,066212,2025,04,19,0.0,1,N
IDCJAC0009,066212,2025,04,20,0.0,1,N
IDCJAC0009,066212,2025,04,21,0.0,1,N
IDCJAC0009,066212,2025,04,22,0.2,1,N
IDCJAC0009,066212,2025,04,23,16.8,1,N
IDCJAC0009,066212,2025,04,24,2.4,1,N
IDCJAC0009,066212,2025,04,25,4.6,1,N
IDCJAC0009,066212,2025,04,26,3.4,1,N
IDCJAC0009,066212,2025,04,27,26.0,1,N
IDCJAC0009,066212,2025,04,28,6.0,1,N
IDCJAC0009,066212,2025,04,29,0.8,1,N
IDCJAC0009,066212,2025,04,30,8.2,1,N
IDCJAC0009,066212,2025,05,01,5.6,1,Y
IDCJAC0009,066212,2025,05,02,18.0,1,Y
IDCJAC0009,066212,2025,05,03,0.8,1,Y
IDCJAC0009,066212,2025,05,04,0.2,1,Y
IDCJAC0009,066212,2025,05,05,1.2,1,Y
IDCJAC0009,066212,2025,05,06,0.2,1,Y
IDCJAC0009,066212,2025,05,07,0.0,1,Y
IDCJAC0009,066212,2025,05,08,0.0,1,Y
IDCJAC0009,066212,2025,05,09,0.0,1,Y
IDCJAC0009,066212,2025,05,10,1.0,1,Y
IDCJAC0009,066212,2025,05,11,0.2,1,Y
IDCJAC0009,066212,2025,05,12,3.2,1,Y
IDCJAC0009,066212,2025,05,13,0.0,1,Y
IDCJAC0009,066212,2025,05,14,1.8,1,Y
IDCJAC0009,066212,2025,05,15,0.8,1,Y
IDCJAC0009,066212,2025,05,16,18.8,1,Y
IDCJAC0009,066212,2025,05,17,1.0,1,Y
IDCJAC0009,066212,2025,05,18,1.6,1,Y
IDCJAC0009,066212,2025,05,19,23.2,1,Y
IDCJAC0009,066212,2025,05,20,3.2,1,Y
IDCJAC0009,066212,2025,05,21,1.6,1,Y
IDCJAC0009,066212,2025,05,22,20.0,1,Y
IDCJAC0009,066212,2025,05,23,118.0,1,Y
IDCJAC0009,066212,2025,05,24,2.4,1,Y
IDCJAC0009,066212,2025,05,25,0.0,1,Y
IDCJAC0009,066212,2025,05,26,0.0,1,Y
IDCJAC0009,066212,2025,05,27,3.4,1,Y
IDCJAC0009,066212,2025,05,28,0.0,1,Y
IDCJAC0009,066212,2025,05,29,0.0,1,Y
IDCJAC0009,066212,2025,05,30,0.0,1,Y
IDCJAC0009,066212,2025,05,31,0.0,1,Y
IDCJAC0009,066212,2025,06,01,0.0,1,Y
IDCJAC0009,066212,2025,06,02,0.0,1,Y
IDCJAC0009,066212,2025,06,03,0.0,1,Y
IDCJAC0009,066212,2025,06,04,2.2,1,Y
IDCJAC0009,066212,2025,06,05,0.2,1,Y
IDCJAC0009,066212,2025,06,06,0.0,1,Y
IDCJAC0009,066212,2025,06,07,0.0,1,Y
IDCJAC0009,066212,2025,06,08,0.0,1,Y
IDCJAC0009,066212,2025,06,09,0.0,1,Y
IDCJAC0009,066212,2025,06,10,1.8,1,Y
IDCJAC0009,066212,2025,06,11,0.0,1,Y
IDCJAC0009,066212,2025,06,12,0.0,1,Y
IDCJAC0009,066212,2025,06,13,0.0,1,Y
IDCJAC0009,066212,2025,06,14,0.2,1,Y
IDCJAC0009,066212,2025,06,15,0.0,1,Y
IDCJAC0009,066212,2025,06,16,4.6,1,Y
IDCJAC0009,066212,2025,06,17,0.0,1,Y
IDCJAC0009,066212,2025,06,18,0.0,1,Y
IDCJAC0009,066212,2025,06,19,0.0,1,Y
IDCJAC0009,066212,2025,06,20,0.0,1,Y
IDCJAC0009,066212,2025,06,21,0.2,1,Y
IDCJAC0009,066212,2025,06,22,0.0,1,Y
IDCJAC0009,066212,2025,06,23,0.0,1,Y
IDCJAC0009,066212,2025,06,24,0.0,1,Y
IDCJAC0009,066212,2025,06,25,1.6,1,Y
IDCJAC0009,066212,2025,06,26,0.0,1,Y
IDCJAC0009,066212,2025,06,27,0.0,1,Y
IDCJAC0009,066212,2025,06,28,0.0,1,Y
IDCJAC0009,066212,2025,06,29,0.0,1,Y
IDCJAC0009,066212,2025,06,30,0.0,1,Y
IDCJAC0009,066212,2025,07,01,13.8,1,Y
IDCJAC0009,066212,2025,07,02,72.8,1,Y
IDCJAC0009,066212,2025,07,03,2.0,1,Y
IDCJAC0009,066212,2025,07,04,0.0,1,Y
IDCJAC0009,066212,2025,07,05,0.0,1,Y
IDCJAC0009,066212,2025,07,06,0.0,1,Y
IDCJAC0009,066212,2025,07,07,4.8,1,Y
IDCJAC0009,066212,2025,07,08,0.0,1,Y
IDCJAC0009,066212,2025,07,09,0.0,1,Y
IDCJAC0009,066212,2025,07,10,0.0,1,Y
IDCJAC0009,066212,2025,07,11,0.0,1,Y
IDCJAC0009,066212,2025,07,12,0.0,1,Y
IDCJAC0009,066212,2025,07,13,0.0,1,Y
IDCJAC0009,066212,2025,07,14,0.0,1,Y
IDCJAC0009,066212,2025,07,15,0.0,1,Y
IDCJAC0009,066212,2025,07,16,0.0,1,Y
IDCJAC0009,066212,2025,07,17,0.0,1,Y
IDCJAC0009,066212,2025,07,18,0.0,1,Y
IDCJAC0009,066212,2025,07,19,0.0,1,Y
IDCJAC0009,066212,2025,07,20,0.0,1,Y
IDCJAC0009,066212,2025,07,21,0.0,1,Y
IDCJAC0009,066212,2025,07,22,0.0,1,Y
IDCJAC0009,066212,2025,07,23,2.2,1,Y
IDCJAC0009,066212,2025,07,24,0.2,1,Y
IDCJAC0009,066212,2025,07,25,0.0,1,Y
IDCJAC0009,066212,2025,07,26,3.4,1,Y
IDCJAC0009,066212,2025,07,27,0.0,1,Y
IDCJAC0009,066212,2025,07,28,0.0,1,Y
IDCJAC0009,066212,2025,07,29,0.0,1,Y
IDCJAC0009,066212,2025,07,30,0.8,1,Y
IDCJAC0009,066212,2025,07,31,28.2,1,Y
IDCJAC0009,066212,2025,08,01,4.0,1,N
IDCJAC0009,066212,2025,08,02,16.6,1,N
IDCJAC0009,066212,2025,08,03,25.2,1,N
IDCJAC0009,066212,2025,08,04,21.2,1,N
IDCJAC0009,066212,2025,08,05,0.4,1,N
IDCJAC0009,066212,2025,08,06,0.0,1,N
IDCJAC0009,066212,2025,08,07,1.0,1,N
IDCJAC0009,066212,2025,08,08,0.2,1,N
IDCJAC0009,066212,2025,08,09,32.8,1,N
IDCJAC0009,066212,2025,08,10,23.2,1,N
IDCJAC0009,066212,2025,08,11,9.4,1,N
IDCJAC0009,066212,2025,08,12,0.0,1,N
IDCJAC0009,066212,2025,08,13,0.2,1,N
IDCJAC0009,066212,2025,08,14,6.8,1,N
IDCJAC0009,066212,2025,08,15,10.4,1,N
IDCJAC0009,066212,2025,08,16,0.0,1,N
IDCJAC0009,066212,2025,08,17,0.0,1,N
IDCJAC0009,066212,2025,08,18,0.0,1,N
IDCJAC0009,066212,2025,08,19,18.0,1,N
IDCJAC0009,066212,2025,08,20,14.6,1,N
IDCJAC0009,066212,2025,08,21,49.8,1,N
IDCJAC0009,066212,2025,08,22,36.2,1,N
IDCJAC0009,066212,2025,08,23,4.4,1,N
IDCJAC0009,066212,2025,08,24,0.0,1,N
IDCJAC0009,066212,2025,08,25,0.0,1,N
IDCJAC0009,066212,2025,08,26,0.0,1,N
IDCJAC0009,066212,2025,08,27,0.0,1,N
IDCJAC0009,066212,2025,08,28,0.0,1,N
IDCJAC0009,066212,2025,08,29,0.0,1,N
IDCJAC0009,066212,2025,08,30,0.0,1,N
IDCJAC0009,066212,2025,08,31,0.0,1,N
IDCJAC0009,066212,2025,09,01,0.0,1,N
IDCJAC0009,066212,2025,09,02,1.0,1,N
IDCJAC0009,066212,2025,09,03,0.0,1,N
IDCJAC0009,066212,2025,09,04,0.0,1,N
IDCJAC0009,066212,2025,09,05,0.0,1,N
IDCJAC0009,066212,2025,09,06,0.0,1,N
IDCJAC0009,066212,2025,09,07,0.0,1,N
IDCJAC0009,066212,2025,09,08,0.0,1,N
IDCJAC0009,066212,2025,09,09,3.0,1,N
IDCJAC0009,066212,2025,09,10,5.6,1,N
IDCJAC0009,066212,2025,09,11,56.6,1,N
IDCJAC0009,066212,2025,09,12,2.4,1,N
IDCJAC0009,066212,2025,09,13,0.0,1,N
IDCJAC0009,066212,2025,09,14,0.0,1,N
IDCJAC0009,066212,2025,09,15,0.0,1,N
IDCJAC0009,066212,2025,09,16,0.0,1,N
IDCJAC0009,066212,2025,09,17,0.0,1,N
IDCJAC0009,066212,2025,09,18,0.0,1,N
IDCJAC0009,066212,2025,09,19,0.0,1,N
IDCJAC0009,066212,2025,09,20,3.6,1,N
IDCJAC0009,066212,2025,09,21,0.2,1,N
IDCJAC0009,066212,2025,09,22,0.0,1,N
IDCJAC0009,066212,2025,09,23,6.0,1,N
IDCJAC0009,066212,2025,09,24,0.0,1,N
IDCJAC0009,066212,2025,09,25,0.0,1,N
IDCJAC0009,066212,2025,09,26,0.0,1,N
IDCJAC0009,066212,2025,09,27,0.0,1,N
IDCJAC0009,066212,2025,09,28,0.0,1,N
IDCJAC0009,066212,2025,09,29,0.0,1,N
IDCJAC0009,066212,2025,09,30,0.0,1,N
IDCJAC0009,066212,2025,10,01,0.0,1,N
IDCJAC0009,066212,2025,10,02,0.0,1,N
IDCJAC0009,066212,2025,10,03,0.0,1,N
IDCJAC0009,066212,2025,10,04,0.0,1,N
IDCJAC0009,066212,2025,10,05,0.0,1,N
IDCJAC0009,066212,2025,10,06,0.0,1,N
IDCJAC0009,066212,2025,10,07,4.0,1,N
IDCJAC0009,066212,2025,10,08,0.0,1,N
IDCJAC0009,066212,2025,10,09,0.0,1,N
IDCJAC0009,066212,2025,10,10,0.0,1,N
IDCJAC0009,066212,2025,10,11,0.0,1,N
IDCJAC0009,066212,2025,10,12,0.0,1,N
IDCJAC0009,066212,2025,10,13,0.4,1,N
IDCJAC0009,066212,2025,10,14,0.0,1,N
IDCJAC0009,066212,2025,10,15,0.0,1,N
IDCJAC0009,066212,2025,10,16,0.0,1,N
IDCJAC0009,066212,2025,10,17,0.0,1,N
IDCJAC0009,066212,2025,10,18,0.0,1,N
IDCJAC0009,066212,2025,10,19,0.0,1,N
IDCJAC0009,066212,2025,10,20,0.0,1,N
IDCJAC0009,066212,2025,10,21,0.0,1,N
IDCJAC0009,066212,2025,10,22,0.0,1,N
IDCJAC0009,066212,2025,10,23,0.0,1,N
IDCJAC0009,066212,2025,10,24,0.0,1,N
IDCJAC0009,066212,2025,10,25,0.0,1,N
IDCJAC0009,066212,2025,10,26,0.0,1,N
IDCJAC0009,066212,2025,10,27,0.6,1,N
IDCJAC0009,066212,2025,10,28,0.0,1,N
IDCJAC0009,066212,2025,10,29,2.2,1,N
IDCJAC0009,066212,2025,10,30,7.8,1,N
IDCJAC0009,066212,2025,10,31,0.2,1,N
IDCJAC0009,066212,2025,11,01,12.8,1,N
IDCJAC0009,066212,2025,11,02,0.4,1,N
IDCJAC0009,066212,2025,11,03,0.0,1,N
IDCJAC0009,066212,2025,11,04,8.2,1,N
IDCJAC0009,066212,2025,11,05,0.2,1,N
IDCJAC0009,066212,2025,11,06,0.0,1,N
IDCJAC0009,066212,2025,11,07,0.0,1,N
IDCJAC0009,066212,2025,11,08,0.0,1,N
IDCJAC0009,066212,2025,11,09,0.0,1,N
IDCJAC0009,066212,2025,11,10,0.0,1,N
IDCJAC0009,066212,2025,11,11,0.0,1,N
IDCJAC0009,066212,2025,11,12,0.0,1,N
